j ai ans .	i m .
on est pas mal bourres .	we re quite drunk .
nous sommes assez fatigues .	we re quite tired .
nous sommes pretes a partir .	we re ready to go .
nous sommes prets a y aller .	we re ready to go .
nous sommes pretes a y aller .	we re ready to go .
nous sommes vraiment bons .	we re really good .
nous sommes vraiment bonnes .	we re really good .
nous sommes tres en retard .	we re really late .
nous sommes pleins de ressources .	we re resourceful .
nous sommes toujours en vie .	we re still alive .
nous prenons le controle .	we re taking over .
nous prenons l ascendant .	we re taking over .
nous rejouons .	we re taking over .
nous sommes le probleme .	we re the problem .
nous sommes dignes de confiance .	we re trustworthy .
tu es un peu gras .	you are a bit fat .
tu es un etudiant .	you are a student .
tu es une etudiante .	you are a student .
vous etes un etudiant .	you are a student .
vous etes une etudiante .	you are a student .
tu es enseignant .	you are a teacher .
tu es enseignante .	you are a teacher .
vous etes des actrices .	you are actresses .
tu es beau .	you are beautiful .
tu es belle .	you are beautiful .
vous etes beau .	you are beautiful .
vous etes belle .	you are beautiful .
vous etes beaux .	you are beautiful .
vous etes belles .	you are beautiful .
que vous etes drole .	you are hilarious .
vous me faites mourir de rire .	you are hilarious .
tu es important .	you are important .
vous etes important .	you are important .
vous etes importants .	you are important .
vous etes importantes .	you are important .
tu es importante .	you are important .
vous etes importante .	you are important .
tu es sur mon chemin .	you are in my way .
vous etes sur mon chemin .	you are in my way .
tu es mon pere .	you are my father .
tu es mon amie .	you are my friend .
tu es tellement idiot !	you are so stupid .
tu es tellement idiote !	you are so stupid .
vous etes tellement idiot !	you are so stupid .
vous etes tellement idiote !	you are so stupid .
vous etes tellement idiots !	you are so stupid .
vous etes tellement idiotes !	you are so stupid .
tu es tres sympa .	you are very nice .
tu es tres riche .	you are very rich .
vous etes tres riche .	you are very rich .
vous etes tres riches .	you are very rich .
vous etes fort riche .	you are very rich .
vous etes fort riches .	you are very rich .
vous lisez trop .	you read too much .
tu lis trop .	you read too much .
tu mens mal .	you re a bad liar .
vous mentez mal .	you re a bad liar .
tu es un prisonnier .	you re a prisoner .
vous etes un prisonnier .	you re a prisoner .
tu es agressif .	you re aggressive .
tu es agressive .	you re aggressive .
vous etes tous malades .	you re all insane .
vous etes toutes malades .	you re all insane .
tu t exprimes bien .	you re articulate .
vous vous exprimez bien .	you re articulate .
tu es a nouveau de retour .	you re back again .
vous etes a nouveau de retour .	you re back again .
tu es courageux .	you re courageous .
tu es courageuse .	you re courageous .
tu es degoutant .	you re disgusting .
tu es degoutante .	you re disgusting .
vous etes degoutant .	you re disgusting .
vous etes degoutante .	you re disgusting .
vous etes degoutants .	you re disgusting .
vous etes degoutantes .	you re disgusting .
t es libre d y aller .	you re free to go .
t es libre de t en aller .	you re free to go .
vous etes libre d y aller .	you re free to go .
vous etes libres d y aller .	you re free to go .
vous etes libre de vous en aller .	you re free to go .
vous etes libres de vous en aller .	you re free to go .
vous avez a moitie raison .	you re half right .
tu as a moitie raison .	you re half right .
tu es la tot .	you re here early .
tu viens tot .	you re here early .
tu me fais mal !	you re hurting me .
vous me faites mal !	you re hurting me .
tu es incroyable .	you re incredible .
vous etes incroyable .	you re incredible .
vous etes incroyables .	you re incredible .
tu n es qu un enfant .	you re just a boy .
tu n es qu un enfant .	you re just a kid .
tu es juste fatigue .	you re just tired .
tu me tues .	you re killing me .
vous me tuez .	you re killing me .
vous n etes pas normal .	you re not normal .
vous n etes pas normale .	you re not normal .
vous n etes pas normaux .	you re not normal .
vous n etes pas normales .	you re not normal .
tu n es pas normal .	you re not normal .
tu n es pas normale .	you re not normal .
tu es surmene .	you re overworked .
tu es surmenee .	you re overworked .
vous etes surmenee .	you re overworked .
vous etes surmenees .	you re overworked .
vous etes surmene .	you re overworked .
vous etes surmenes .	you re overworked .
tu es productif .	you re productive .
tu es productive .	you re productive .
vous etes productif .	you re productive .
vous etes productifs .	you re productive .
vous etes productive .	you re productive .
vous etes productives .	you re productive .
tu es remarquable .	you re remarkable .
tu me fais peur .	you re scaring me .
tu es cerne .	you re surrounded .
vous etes cernes .	you re surrounded .
vous etes cernees .	you re surrounded .
vous etes cerne .	you re surrounded .
vous etes cernee .	you re surrounded .
tu es cernee .	you re surrounded .
c est toi qui me le dis .	you re telling me .
vous etes le chef .	you re the leader .
tu es le chef .	you re the leader .
tu es la chef .	you re the leader .
vous etes la chef .	you re the leader .
c est toi le chef .	you re the leader .
c est toi la chef .	you re the leader .
c est vous le chef .	you re the leader .
c est vous la chef .	you re the leader .
vous etes le maitre .	you re the master .
vous etes la maitresse .	you re the master .
tu es le maitre .	you re the master .
tu es la maitresse .	you re the master .
c est toi le maitre .	you re the master .
c est toi la maitresse .	you re the master .
c est vous le maitre .	you re the master .
c est vous la maitresse .	you re the master .
vous etes le plus vieux .	you re the oldest .
vous etes le doyen .	you re the oldest .
vous etes la plus vieille .	you re the oldest .
vous etes la doyenne .	you re the oldest .
tu es le doyen .	you re the oldest .
tu es la doyenne .	you re the oldest .
tu es la plus vieille .	you re the oldest .
tu es le plus vieux .	you re the oldest .
c est toi le plus vieux .	you re the oldest .
c est toi la plus vieille .	you re the oldest .
c est vous la plus vieille .	you re the oldest .
c est toi la doyenne .	you re the oldest .
c est vous le plus vieux .	you re the oldest .
c est toi le doyen .	you re the oldest .
c est vous le doyen .	you re the oldest .
c est vous la doyenne .	you re the oldest .
c est vous l aine .	you re the oldest .
c est toi l aine .	you re the oldest .
c est vous l ainee .	you re the oldest .
c est toi l ainee .	you re the oldest .
vous etes l aine .	you re the oldest .
vous etes l ainee .	you re the oldest .
tu es l aine .	you re the oldest .
tu es l ainee .	you re the oldest .
vous etes les proprietaires .	you re the owners .
c est vous les proprietaires .	you re the owners .
tu es trop poli .	you re too polite .
tu es trop polie .	you re too polite .
vous etes trop poli .	you re too polite .
vous etes trop polie .	you re too polite .
vous etes trop polis .	you re too polite .
vous etes trop polies .	you re too polite .
vous etes trop maigrichon .	you re too skinny .
vous etes trop maigre .	you re too skinny .
vous etes trop maigrichonne .	you re too skinny .
vous etes trop maigrichons .	you re too skinny .
vous etes trop maigrichonnes .	you re too skinny .
vous etes trop maigres .	you re too skinny .
tu es trop maigre .	you re too skinny .
tu es trop maigrichon .	you re too skinny .
tu es trop maigrichonne .	you re too skinny .
vous etes fort en colere .	you re very angry .
tu es fort en colere .	you re very angry .
vous etes tres en colere .	you re very angry .
tu es tres en colere .	you re very angry .
tu es tres courageux .	you re very brave .
tu es tres brave .	you re very brave .
vous etes tres courageux .	you re very brave .
vous etes tres courageuse .	you re very brave .
vous etes tres courageuses .	you re very brave .
vous etes fort brave .	you re very brave .
vous etes tres brave .	you re very brave .
vous etes fort braves .	you re very brave .
vous etes tres braves .	you re very brave .
tu es fort brave .	you re very brave .
tu es fort courageux .	you re very brave .
tu es tres courageuse .	you re very brave .
tu es fort courageuse .	you re very brave .
vous etes fort courageux .	you re very brave .
vous etes fort courageuse .	you re very brave .
vous etes fort courageuses .	you re very brave .
tu es tres drole .	you re very funny .
tu es fort drole .	you re very funny .
vous etes tres drole .	you re very funny .
vous etes tres droles .	you re very funny .
vous etes fort drole .	you re very funny .
vous etes fort droles .	you re very funny .
vous etes tres marrant .	you re very funny .
vous etes tres marrante .	you re very funny .
vous etes tres marrants .	you re very funny .
vous etes tres marrantes .	you re very funny .
tu es tres marrant .	you re very funny .
tu es tres marrante .	you re very funny .
tu es tres vif .	you re very sharp .
tu es tres vive .	you re very sharp .
vous etes tres vif .	you re very sharp .
vous etes tres vifs .	you re very sharp .
vous etes tres vive .	you re very sharp .
vous etes tres vives .	you re very sharp .
tu es tres intelligent .	you re very smart .
tu es tres intelligente .	you re very smart .
vous etes tres sages .	you re very smart .
tu es tres timide .	you re very timid .
tu es fort timide .	you re very timid .
vous etes tres timide .	you re very timid .
vous etes tres timides .	you re very timid .
vous etes fort timide .	you re very timid .
vous etes fort timides .	you re very timid .
vous etes fort craintif .	you re very timid .
vous etes fort craintive .	you re very timid .
vous etes fort craintifs .	you re very timid .
vous etes fort craintives .	you re very timid .
vous etes tres craintive .	you re very timid .
vous etes tres craintif .	you re very timid .
vous etes tres craintives .	you re very timid .
vous etes tres craintifs .	you re very timid .
tu es fort craintif .	you re very timid .
tu es fort craintive .	you re very timid .
tu es tres craintif .	you re very timid .
tu es tres craintive .	you re very timid .
tu es tres peureux .	you re very timid .
tu es tres peureuse .	you re very timid .
vous etes tres peureux .	you re very timid .
vous etes tres peureuse .	you re very timid .
vous etes tres peureuses .	you re very timid .
tu es tres contrarie .	you re very upset .
tu es tres contrariee .	you re very upset .
tu es fort contrarie .	you re very upset .
tu es fort contrariee .	you re very upset .
vous etes tres contrarie .	you re very upset .
vous etes tres contrariee .	you re very upset .
vous etes tres contraries .	you re very upset .
vous etes tres contrariees .	you re very upset .
vous etes fort contrarie .	you re very upset .
vous etes fort contrariee .	you re very upset .
vous etes fort contraries .	you re very upset .
vous etes fort contrariees .	you re very upset .
il est mauvais conducteur .	he is a bad driver .
c est une mauvaise personne .	he is a bad person .
il est employe de banque .	he is a bank clerk .
c est un garcon intelligent .	he is a clever boy .
il est poissonnier .	he is a fishmonger .
il est un bon perdant .	he is a good loser .
c est un enfant mince .	he is a slim child .
